| sim_libid | ra         | decl       |
|      1730 |  64.355881 | -20.363379 |
|       523 |  64.377769 | -53.306046 |
|      1970 |  64.382179 | -14.960845 |
|       947 |  64.593483 | -39.869156 |
|      1154 |   65.17527 | -34.332493 |
|       672 |  65.387207 |  -48.07534 |
|       329 |  65.511246 | -61.011009 |
|      1375 |  65.573074 | -28.759846 |
|      2554 |  65.722557 |  -2.141029 |
|      2318 |  65.807701 |  -7.207809 |
|      1611 |  65.820129 | -23.208172 |
|      2091 |   65.88298 | -12.400583 |
|      1839 |  65.907333 | -17.738773 |
|       849 |   66.14666 |  -42.68977 |
|       450 |  66.503555 | -55.978321 |
|      1046 |  66.681519 |  -37.18565 |
|      1257 |  67.033028 |  -31.62114 |
|      2664 |  67.256363 |   0.279775 |
|       597 |  67.272118 | -50.801247 |
|      1486 |  67.285011 | -26.053423 |
|      2434 |  67.322021 |  -4.728621 |
|      2206 |  67.385796 |  -9.854187 |
|      1714 |  67.408714 | -20.535322 |
|      1956 |  67.428535 | -15.123507 |
|       748 |  67.861923 | -45.469585 |
|       933 |  68.290894 | -40.006207 |
|      1144 |  68.581734 | -34.460377 |
|      1361 |  68.781174 | -28.888647 |
|      2776 |  68.812691 |   2.688031 |
|      2540 |  68.858009 |   -2.26473 |
|      2314 |  68.902641 |  -7.323718 |
|      1589 |  68.906364 | -23.339149 |
|      2071 |    68.9412 | -12.520789 |
|      1827 |  68.952263 | -17.866886 |
|       382 |   69.01609 | -58.589233 |
|       519 |  69.453827 |   -53.4706 |
|       660 |  69.793076 | -48.201107 |
|       837 |  70.046898 | -42.788605 |
|      1034 |  70.225143 | -37.272568 |
|      1245 |  70.342369 | -31.706739 |
|      2654 |  70.417198 |   0.187414 |
|      1476 |  70.426765 | -26.140512 |
|      2424 |  70.439888 |  -4.809408 |
|      2182 |  70.461716 |  -9.933713 |
|      1706 |  70.468765 | -20.622986 |
|      1944 |  70.475868 |  -15.20756 |
|       320 |  71.999939 | -61.126862 |
|       746 |  71.999939 | -45.524475 |
|       443 |  71.999992 |  -56.07114 |
|       580 |  71.999992 | -50.872925 |
|       931 |  71.999992 |  -40.05164 |
|      1133 |  71.999992 | -34.503117 |
|      1580 |  71.999992 | -23.383266 |
|      1821 |  71.999992 | -17.910374 |
|      2058 |  71.999992 | -12.561985 |
|      2303 |  71.999992 |  -7.363883 |
|      2533 |  71.999992 |  -2.308103 |
|      2766 |  71.999992 |    2.63509 |
|      1350 |  72.000053 | -28.931789 |
|      1946 |  73.524063 |  -15.20756 |
|      1704 |  73.531281 | -20.622986 |
|      2186 |  73.538277 |  -9.933713 |
|      2418 |  73.560158 |  -4.809408 |
|      1470 |  73.573227 |  -26.14057 |
|      2650 |  73.582794 |   0.187357 |
|      1243 |  73.657509 | -31.706739 |
|      1036 |  73.774788 | -37.272568 |
|       839 |  73.953094 | -42.788605 |
|       666 |  74.206856 |  -48.20105 |
|       517 |  74.546104 | -53.470657 |
|       380 |  74.983963 | -58.589233 |
|      1831 |  75.047729 | -17.866886 |
|      2065 |  75.058846 | -12.520789 |
|      1585 |  75.093628 | -23.339207 |
|      2310 |  75.097351 |  -7.323718 |
|      2538 |  75.141983 |   -2.26473 |
|      2772 |  75.187248 |   2.688031 |
|      1353 |  75.218819 | -28.888647 |
|      1142 |  75.418205 | -34.460377 |
|       939 |  75.709099 | -40.006149 |
|       754 |  76.138069 | -45.469528 |
|      1954 |   76.57151 | -15.123507 |
|      1712 |  76.591225 | -20.535322 |
|      2200 |  76.614143 |  -9.854187 |
|      2430 |  76.678024 |  -4.728621 |
|      1482 |   76.71492 | -26.053423 |
|       599 |  76.727814 | -50.801247 |
|      2662 |  76.743683 |   0.279718 |
|      1255 |  76.967026 |  -31.62114 |
|      1042 |  77.318474 | -37.185707 |
|       454 |  77.496498 | -55.978321 |
|       847 |  77.853279 |  -42.68977 |
|      1837 |  78.092659 | -17.738773 |
|      2087 |  78.117004 | -12.400583 |
|      1605 |  78.179863 | -23.208227 |
|      2324 |  78.192352 |  -7.207752 |
|      2550 |  78.277435 |  -2.141029 |
|      1377 |  78.427032 | -28.759846 |
|       323 |  78.488632 | -61.011009 |
|       676 |  78.612732 | -48.075283 |
|      1150 |  78.824722 | -34.332493 |
|       949 |  79.406509 | -39.869156 |
|      1976 |   79.61776 | -14.960787 |
|       531 |  79.622169 | -53.305988 |
|      1736 |  79.644112 | -20.363321 |
|      2210 |  79.688972 |  -9.702295 |
|      2446 |  79.790215 |  -4.576901 |
|      1490 |  79.843216 |  -25.88102 |
|      2672 |   79.89209 |     0.4496 |
|      1271 |   80.26004 | -31.450914 |
|       762 |   80.26342 | -45.302799 |
|      1054 |  80.844574 | -37.011814 |
|       388 |  80.918488 | -58.380329 |
|      1857 |  81.133919 | -17.532394 |
|      2100 |  81.175858 | -12.210361 |
|      1619 |  81.252861 | -22.994057 |
|      2332 |  81.284492 |  -7.027614 |
|      2560 |  81.402809 |  -1.953156 |
|       609 |  81.433685 | -50.583408 |
|      1391 |  81.615143 | -28.547337 |
|       869 |  81.736496 | -42.489864 |
|      1161 |  82.208443 | -34.120209 |
|      1992 |  82.665321 | -14.729255 |
|      1739 |  82.688293 | -20.113398 |
|      2218 |  82.765129 |  -9.490817 |
|      2448 |  82.896683 |   -4.37035 |
|       460 |  82.946182 | -55.697227 |
|      1508 |  82.950768 | -25.626799 |
|       694 |  82.995461 | -47.819229 |
|      2678 |  83.025536 |   0.674371 |
|       969 |  83.081741 | -39.639111 |
|      1275 |  83.526993 | -31.197781 |
|      1881 |  84.174492 | -17.257145 |
|      2114 |  84.239983 | -11.963015 |
|      1633 |  84.309593 | -22.701906 |
|      1068 |  84.343056 | -36.750832 |
|       782 |  84.364944 | -45.019127 |
|      2338 |  84.376747 |  -6.798889 |
|      2570 |  84.518898 |  -1.721051 |
|       539 |  84.650047 | -52.971725 |
|      1393 |  84.775291 |  -28.25421 |
|       345 |   84.88559 | -60.660992 |
|      1186 |  85.560249 | -33.824677 |
|       874 |  85.593475 | -42.184589 |
|      2001 |  85.720619 | -14.441516 |
|      1758 |  85.726463 | -19.793514 |
|      2232 |  85.847931 |  -9.234647 |
|      2466 |  86.000961 |  -4.126729 |
|      1526 |  86.033112 | -25.294598 |
|       619 |   86.09613 | -50.212189 |
|      2696 |  86.145752 |   0.931457 |
|       973 |  86.726616 | -39.313728 |
|       408 |  86.754173 | -57.958118 |
|      1293 |  86.760536 | -30.864204 |
|      1890 |  87.222336 | -16.924944 |
|      2120 |  87.317047 | -11.673499 |
|       702 |  87.340652 | -47.424461 |
|      1643 |  87.351257 | -22.338078 |
|      2356 |  87.474724 |  -6.538079 |
|      2578 |  87.629829 |  -1.464136 |
|      1080 |  87.806297 | -36.402588 |
|      1413 |  87.901871 | -27.883564 |
|       486 |  88.303108 | -55.221386 |
|       788 |  88.433289 | -44.610378 |
|      1780 |  88.766861 | -19.413815 |
|      2012 |  88.793732 | -14.112409 |
|      1190 |  88.872803 | -33.448017 |
|      2242 |  88.944824 |  -8.950002 |
|      1542 |  89.088867 | -24.889343 |
|      2468 |  89.108803 |  -3.863741 |
|      2702 |  89.258514 |   1.199544 |
|       889 |  89.418259 | -41.767365 |
|       561 |   89.59845 | -52.459042 |
|      1305 |  89.955177 | -30.452765 |
|      1904 |  90.290588 |  -16.55023 |
|       991 |  90.336426 | -38.889225 |
|      1669 |  90.384666 | -21.910364 |
|      2130 |  90.416809 | -11.358258 |
|      2360 |   90.58577 |  -6.262142 |
|       639 |  90.694122 | -49.677334 |
|      2592 |  90.741501 |  -1.199544 |
|      1431 |  90.990852 |  -27.43895 |
|       355 |    91.1035 |  -60.07222 |
|      1096 |  91.229317 | -35.966854 |
|       721 |  91.635544 | -46.879463 |
|      1794 |  91.825424 | -18.988165 |
|      2020 |   91.89785 |  -13.75941 |
|      2254 |  92.064461 |  -8.654241 |
|      1564 |  92.120842 | -24.415794 |
|      1212 |  92.141129 | -32.991997 |
|      2478 |  92.225807 |  -3.595769 |
|      2716 |  92.370193 |   1.464136 |
|       424 |   92.42955 | -57.316578 |
|       814 |  92.461807 | -44.064865 |
|      1323 |   93.10788 | -29.966324 |
|       903 |  93.208313 | -41.228268 |
|      1908 |  93.396988 | -16.152023 |
|      1684 |  93.425926 | -21.430054 |
|       494 |  93.524185 | -54.543175 |
|      2146 |  93.549629 | -11.035855 |
|      2368 |  93.714584 |  -5.984258 |
|      2598 |  93.854271 |  -0.931457 |
|      1007 |  93.911049 | -38.359009 |
|      1447 |  94.040939 | -26.923689 |
|       567 |  94.436913 | -51.758312 |
|      1110 |  94.611374 | -35.441681 |
|      1806 |  94.926384 | -18.536674 |
|      2028 |  95.046539 | -13.403889 |
|      1568 |  95.140099 | -23.881397 |
|       643 |  95.207024 | -48.966576 |
|      2260 |  95.211319 |    -8.3606 |
|      2490 |  95.346191 |   -3.31754 |
|      1220 |  95.362289 | -32.459148 |
|      2724 |  95.481064 |   1.721051 |
|       734 |  95.867188 |   -46.1698 |
|       316 |  96.055397 | -62.021133 |
|      1333 |  96.217201 | -29.407574 |
|       824 |  96.444901 | -43.366489 |
|      1696 |  96.505745 | -20.916912 |
