       snid   sim_redshift_host   hostgal_specz   hostgal_photoz   sim_dlmu   calc_mu   deltamu  
    6791630              0.0480          0.0432           0.0477    36.3269   36.6428    0.3159  
    6990807              0.2838          0.2838           0.2693    41.8392   40.8171   -1.0221  
    7268372              0.0430          0.0332           2.3790    35.9775   36.3961    0.4186  
    7302269              0.0637          0.0548           0.0135    36.8555   37.2817    0.4262  
    7401812              0.0733          0.0643           0.0659    37.2519   37.6011    0.3492  
    7467899              0.0429          0.0382           0.0759    35.9714   36.3909    0.4195  
    8340659              0.8493          0.8493           0.8673    40.1551   43.6624    3.5073  
    9200952              0.6222          0.6222           0.6287    46.9279   42.8349   -4.0930  
    9377600              2.6195          2.6195           2.2715    45.3525   46.6706    1.3181  
    9852124              0.6239          0.6239           0.8078    44.8118   42.8419   -1.9699  
    9988709              0.6119          0.6119           0.6027    46.7535   42.7906   -3.9629  
   10136842              0.4825          0.4825           0.5080    44.7051   42.1685   -2.5366  
   10459855              0.6730          0.6730           0.6643    42.2163   43.0425    0.8262  
   10562626              0.3100          0.3100           0.3171    45.9508   41.0374   -4.9134  
   10680933              0.9012          0.9012           0.9271    46.5445   43.8211   -2.7234  
   10804689              0.0708          0.0615           0.0686    37.1647   37.5220    0.3573  
   11267248              0.0778          0.0908           0.0835    38.1106   37.7373   -0.3733  
   11473266              0.3873          0.3873           0.3479    46.2247   41.6018   -4.6229  
   11509423              0.7703          0.7703           0.7905    46.8392   43.4017   -3.4375  
   11580029              0.0197          0.0101           0.0094    33.4651   34.6636    1.1985  
   12431527              0.6837          0.6837           0.6284    46.7131   43.0845   -3.6286  
   14104284              0.0627          0.0553           0.0724    36.8866   37.2458    0.3592  
   14350770              0.6672          0.6672           0.9061    42.4874   43.0196    0.5322  
   14871358              0.0297          0.0356           0.1372    35.9581   35.5713   -0.3868  
   14914216              0.8271          0.8271           0.8036    42.0193   43.5916    1.5723  
   16102486              0.5173          0.5173           0.1228    42.9694   42.3499   -0.6195  
   16119983              0.0765          0.0670           0.5460    37.3559   37.6987    0.3428  
   16136847              0.2692          0.2692           0.2793    41.1104   40.6857   -0.4247  
   16267910              0.0707          0.0823           0.1209    37.8827   37.5187   -0.3640  
   16313311              0.0469          0.0369           0.0458    36.0736   36.5907    0.5171  
   16369944              2.8654          2.8654           2.7823    43.2464   46.9061    3.6597  
   16828669              1.2333          1.2333           1.1505    45.8151   44.6636   -1.1515  
   17102084              1.2837          1.2837           1.3088    47.4047   44.7712   -2.6335  
   17175409              0.0483          0.0409           0.0468    36.3164   36.6568    0.3404  
   17557666              0.0842          0.0991           0.0821    38.2665   37.9185   -0.3480  
   17589513              0.0215          0.0148           0.0294    34.1973   34.8564    0.6591  
   17625635              0.0206          0.0325           0.0348    35.8744   34.7621   -1.1123  
   17914352              1.0982          1.0982           1.1098    47.0880   44.3518   -2.7362  
   18158243              0.0910          0.1049           0.0918    38.4344   38.0972   -0.3372  
   18185276              0.0697          0.0862           2.3136    37.8371   37.4863   -0.3508  
   18732923              0.4907          0.4907           0.4717    44.7156   42.2123   -2.5033  
   18789239              0.3115          0.3115           0.3021    43.7445   41.0499   -2.6946  
   19385328              0.1131          0.1283           2.5396    38.9586   38.6014   -0.3572  
   19452828              1.0519          1.0519           0.9646    45.5559   44.2362   -1.3197  
   19492744              0.0574          0.0498           0.0711    36.7194   37.0458    0.3264  
   19625632              0.7356          0.7356           0.7710    46.3686   43.2788   -3.0898  
   20625548              0.5235          0.5235           0.5193    46.7718   42.3808   -4.3910  
   20866007              0.0689          0.0571           0.0121    37.0948   37.4600    0.3652  
   21510764              1.0700          1.0700           1.0644    46.7445   44.2820   -2.4625  
   21629339              1.4470          1.4470           1.3292    46.3346   45.0926   -1.2420  
   21752788              1.0230          1.0230           1.0215    47.0706   44.1613   -2.9093  
   22134248              0.9736          0.9736           0.9062    40.9656   44.0284    3.0628  
   22202016              0.0433          0.0347           0.0716    35.9003   36.4116    0.5113  
   22775267              1.2690          1.2690           1.4152    41.5642   44.7402    3.1760  
   23419930              0.6346          0.6346           0.6355    46.2867   42.8870   -3.3997  
   24059546              0.6574          0.6574           0.6477    47.0821   42.9804   -4.1017  
   24800680              0.1488          0.1488           2.1455    42.7329   39.2462   -3.4867  
   24974177              0.1781          0.1781           0.1764    47.2887   39.6757   -7.6130  
   25317786              1.9418          1.9418           1.2962    47.0646   45.8787   -1.1859  
   25323849              0.3116          0.3116           0.3225    44.4560   41.0503   -3.4057  
   25422850              0.0767          0.0899           0.1281    38.0758   37.7047   -0.3711  
   25606903              0.0437          0.0560           0.0637    36.9975   36.4322   -0.5653  
   25747060              2.6461          2.6461           2.7803    44.3187   46.6972    2.3785  
   25857484              0.1058          0.1206           0.1126    38.7987   38.4460   -0.3527  
   25988518              0.4452          0.4452           0.3335    47.2564   41.9599   -5.2965  
   26139872              0.0230          0.0172           0.0262    34.3500   35.0053    0.6553  
   26225832              1.5224          1.5224           1.5624    43.4037   45.2287    1.8250  
   26331957              0.4413          0.4413           0.4249    40.0223   41.9375    1.9152  
   26424187              0.0949          0.1106           0.0934    38.5357   38.1941   -0.3416  
   26768012              0.5254          0.5254           0.5145    45.3238   42.3905   -2.9333  
   26815551              0.4948          0.4948           0.4513    46.8850   42.2341   -4.6509  
   27608493              0.5588          0.5588           0.5860    43.2303   42.5520   -0.6783  
   27898964              0.0823          0.0708           0.0808    37.4612   37.8661    0.4049  
   28021696              0.0905          0.1031           0.0779    38.4381   38.0845   -0.3536  
   29813862              0.0383          0.0294           0.0391    35.5529   36.1373    0.5844  
   29920623              0.4439          0.4439           0.4599    42.9075   41.9525   -0.9550  
   30030322              0.5944          0.5944           0.5700    40.5518   42.7143    2.1625  
   30834678              0.0776          0.0649           0.0842    37.3368   37.7314    0.3946  
   30906841              0.7509          0.7509           0.7515    46.5943   43.3336   -3.2607  
   31542240              0.5721          0.5721           0.5962    43.9609   42.6138   -1.3471  
   31575518              0.0780          0.0885           0.0609    38.1092   37.7431   -0.3661  
   31884395              0.4439          0.4439           0.4486    46.9543   41.9525   -5.0018  
   32056303              1.6637          1.6637           1.6284    46.4048   45.4664   -0.9384  
   32075515              0.0533          0.0424           0.0099    36.2531   36.8785    0.6254  
   32122937              3.2920          3.2920           2.8659    43.8032   47.2683    3.4651  
   32168320              1.3538          1.3538           1.3649    47.1661   44.9140   -2.2521  
   32711282              0.0771          0.0665           0.0610    37.3364   37.7166    0.3802  
   32765553              0.5552          0.5552           0.5701    40.6920   42.5350    1.8430  
   34109598              0.2317          0.2317           0.2167    47.3496   40.3150   -7.0346  
   35147619              0.3036          0.3036           0.3168    45.6886   40.9856   -4.7030  
   35357583              0.0543          0.0482           0.1600    36.6037   36.9204    0.3167  
   35426296              0.8692          0.8692           0.8414    40.2969   43.7245    3.4276  
   35442923              0.4835          0.4835           0.4389    45.9213   42.1739   -3.7474  
   36750358              1.2384          1.2384           1.1559    45.6916   44.6747   -1.0169  
   36907247              0.7817          0.7817           0.8495    46.1289   43.4407   -2.6882  
   37525385              1.6104          1.6104           1.5883    42.6319   45.3793    2.7474  
   39172179              0.0423          0.0339           0.0477    35.9538   36.3593    0.4055  
   39206853              0.0802          0.0922           0.0894    38.1339   37.8068   -0.3271  
   39263321              0.0549          0.0685           0.0863    37.4065   36.9452   -0.4613  
   39788952              1.9628          1.9628           1.8622    47.1909   45.9073   -1.2836  
   39900248              0.1018          0.1149           2.3752    38.6883   38.3566   -0.3317  
   40221760              0.6699          0.6699           0.6655    39.2578   43.0304    3.7726  
   40827703              0.9307          0.9307           0.8550    45.6704   43.9075   -1.7629  
   40874638              2.1018          2.1018           1.2997    44.5519   46.0891    1.5372  
   41698047              0.2406          0.2406           2.6267    47.3246   40.4082   -6.9164  
   41750145              0.4410          0.4410           0.4554    46.1854   41.9354   -4.2500  
   42807263              0.0288          0.0364           0.0621    36.0824   35.5030   -0.5794  
   43390869              0.2462          0.2462           0.2251    45.7982   40.4640   -5.3342  
   43472347              0.0432          0.0537           0.0658    36.8700   36.4065   -0.4635  
   43646264              2.1913          2.1913           1.8328    44.8691   46.1997    1.3306  
   44037453              1.5218          1.5218           1.5201    40.9133   45.2277    4.3144  
   44270475              0.4082          0.4082           0.4917    39.2328   41.7365    2.5037  
   44362490              0.8684          0.8684           0.8884    41.9197   43.7219    1.8022  
   44480864              0.0215          0.0272           0.0402    35.2824   34.8564   -0.4260  
   44546284              2.4891          2.4891           0.1342    44.5796   46.5363    1.9567  
   44585231              0.5578          0.5578           0.6164    44.8323   42.5471   -2.2852  
   44968745              0.0559          0.0448           0.0211    36.4843   36.9860    0.5017  
   45542528              0.7322          0.7322           0.7301    46.7674   43.2665   -3.5009  
   45544281              2.4236          2.4236           2.4281    39.8362   46.4659    6.6297  
   45857143              1.2355          1.2355           1.3120    45.4368   44.6684   -0.7684  
   46240096              0.1777          0.1777           0.1891    45.3781   39.6709   -5.7072  
   46556836              0.0542          0.0617           0.0633    37.3020   36.9163   -0.3857  
   47007728              1.7517          1.7517           1.8469    46.4592   45.6040   -0.8552  
   47329286              0.8114          0.8114           0.9396    47.2660   43.5405   -3.7255  
   47582790              0.0254          0.0312           0.0819    35.6019   35.2247   -0.3772  
   47751300              0.3161          0.3161           0.3502    46.8005   41.0869   -5.7136  
   48221627              0.5801          0.5801           0.5666    46.4476   42.6500   -3.7976  
   48235559              0.2769          0.2769           0.3074    45.9970   40.7552   -5.2418  
   48326118              0.2433          0.2433           0.2290    45.7227   40.4354   -5.2873  
   48465150              1.1305          1.1305           1.1742    47.1074   44.4298   -2.6776  
   49154056              2.1462          2.1462           2.2518    47.3672   46.1445   -1.2227  
   49372512              0.9122          0.9122           0.7830    46.2351   43.8538   -2.3813  
   49413736              0.0240          0.0306           0.0291    35.8126   35.0994   -0.7132  
   49698083              0.7838          0.7838           0.7061    44.0393   43.4480   -0.5913  
   49784004              0.0547          0.0642           0.0625    37.2639   36.9370   -0.3269  
   50243528              0.8211          0.8211           0.8343    45.9756   43.5723   -2.4033  
   51346417              0.8629          0.8629           0.8223    47.4002   43.7050   -3.6952  
   51444715              2.4568          2.4568           2.4497    43.7553   46.5018    2.7465  
   51642623              0.4121          0.4121           0.4948    46.4979   41.7610   -4.7369  
   51687429              0.0852          0.0997           0.1116    38.3359   37.9456   -0.3903  
   52053012              0.0776          0.0637           0.0569    37.2900   37.7314    0.4414  
   52213813              0.0231          0.0339           0.1295    35.8896   35.0149   -0.8747  
   52247193              0.0517          0.0417           0.0723    36.3660   36.8098    0.4438  
   52656904              0.5385          0.5385           0.5639    43.5867   42.4550   -1.1317  
   53030964              0.0775          0.0664           0.0668    37.3551   37.7284    0.3733  
   53732114              0.3448          0.3448           0.3522    42.9825   41.3057   -1.6768  
   54014894              0.0481          0.0614           0.0693    37.0390   36.6475   -0.3915  
   54427122              0.7138          0.7138           0.5856    46.1442   43.1986   -2.9456  
   54597794              0.9771          0.9771           0.9689    39.4489   44.0381    4.5892  
   54913476              1.5229          1.5229           1.6184    43.2822   45.2296    1.9474  
   54944653              0.8858          0.8858           0.8881    47.1693   43.7752   -3.3941  
   55403648              0.7552          0.7552           0.8563    45.7064   43.3490   -2.3574  
   55407416              1.6569          1.6569           1.5462    43.0114   45.4555    2.4441  
   55761382              0.0148          0.0120           0.0508    33.5926   34.0346    0.4420  
   55870206              1.1784          1.1784           1.1811    39.9650   44.5412    4.5762  
   56069298              0.0713          0.0612           0.0572    37.1407   37.5380    0.3973  
   56501835              0.2634          0.2634           0.5420    44.0401   40.6315   -3.4086  
   57199321              1.6503          1.6503           1.5953    46.8592   45.4447   -1.4145  
   57260990              0.3067          0.3067           0.3130    46.7461   41.0106   -5.7355  
   58111304              0.0545          0.0616           0.1352    37.3507   36.9287   -0.4220  
   58269716              0.3272          0.3272           0.3180    45.7401   41.1739   -4.5662  
   58857517              0.3587          0.3587           0.3337    47.1564   41.4065   -5.7499  
   59054296              0.0959          0.1117           0.1316    38.5701   38.2183   -0.3518  
   59121418              0.6255          0.6255           0.6451    46.9859   42.8488   -4.1371  
   59580083              0.6847          0.6847           0.6349    42.3611   43.0882    0.7271  
   59778840              0.0559          0.0486           0.0676    36.5730   36.9860    0.4130  
   59812695              2.1729          2.1729           2.1170    44.2790   46.1773    1.8983  
   60697565              0.0399          0.0332           0.0745    35.8360   36.2287    0.3927  
   61138882              0.7491          0.7491           0.7540    45.9113   43.3273   -2.5840  
   61305839              0.0237          0.0308           0.0346    35.4945   35.0716   -0.4229  
   61743582              1.0723          1.0723           1.2450    45.6949   44.2877   -1.4072  
   62610350              0.3068          0.3068           0.3117    44.5630   41.0114   -3.5516  
   63852182              1.8586          1.8586           1.6882    47.1823   45.7620   -1.4203  
   63995260              0.5073          0.5073           0.5106    37.4877   42.2991    4.8114  
   64352072              1.0167          1.0167           0.9738    47.1659   44.1447   -3.0212  
   64410711              0.0486          0.0377           0.0706    36.0203   36.6707    0.6504  
   64614302              0.6311          0.6311           0.6392    44.4071   42.8723   -1.5348  
   64746104              0.3087          0.3087           0.3172    45.4913   41.0272   -4.4641  
   64803730              0.0228          0.0246           0.0287    35.3307   34.9860   -0.3447  
   65061490              0.3018          0.3018           0.2764    45.5413   40.9704   -4.5709  
   65562870              0.2577          0.2577           0.3215    47.2174   40.5775   -6.6399  
   65925793              0.9640          0.9640           0.9777    47.0565   44.0020   -3.0545  
   66052259              0.1298          0.1298           0.1526    47.2861   38.9238   -8.3623  
   66147107              0.0574          0.0458           0.0463    36.5375   37.0458    0.5083  
   66189311              0.4940          0.4940           0.4786    46.6318   42.2295   -4.4023  
   66331631              1.6142          1.6142           1.3961    42.8031   45.3855    2.5824  
   66529028              0.4433          0.4433           0.3528    46.7079   41.9491   -4.7588  
   66599765              0.5840          0.5840           0.5806    46.1337   42.6678   -3.4659  
   66742262              0.0559          0.0473           0.0605    36.6345   36.9860    0.3515  
   66837191              2.4757          2.4757           2.4511    36.8482   46.5220    9.6738  
   66931173              0.4925          0.4925           0.4779    46.9880   42.2219   -4.7661  
   67064791              0.2452          0.2452           0.2751    47.3433   40.4543   -6.8890  
   67450567              0.6475          0.6475           0.5973    47.2650   42.9401   -4.3249  
   67547026              0.5579          0.5579           0.5475    45.9473   42.5478   -3.3995  
   67825551              0.0193          0.0225           0.0240    35.0000   34.6184   -0.3816  
   68098857              0.0150          0.0178           0.0494    34.4762   34.0640   -0.4122  
   68165156              0.6340          0.6340           0.6450    46.2132   42.8846   -3.3286  
   68252425              0.2154          0.2154           0.1953    42.5111   40.1364   -2.3747  
   68330129              2.2137          2.2137           1.4356    47.3996   46.2265   -1.1731  
   68397084              0.0956          0.0847           0.0990    37.8791   38.2111    0.3320  
   68442149              2.3103          2.3103           2.3437    44.7469   46.3395    1.5926  
   68875401              1.5846          1.5846           1.4810    41.3270   45.3361    4.0091  
   68985207              0.6125          0.6125           0.6100    46.2378   42.7935   -3.4443  
   69012979              0.5432          0.5432           0.2911    46.5066   42.4775   -4.0291  
   69293158              0.0982          0.1116           0.0711    38.6310   38.2731   -0.3579  
   69363519              0.8536          0.8536           0.8321    40.5475   43.6759    3.1284  
   69457651              0.4946          0.4946           0.4032    45.8616   42.2329   -3.6287  
   69876004              0.0529          0.0423           0.0665    36.4053   36.8615    0.4562  
   70220888              0.5787          0.5787           0.5776    45.4945   42.6441   -2.8504  
   70936461              0.0799          0.0923           0.0913    38.1261   37.7982   -0.3279  
   71166032              0.1262          0.1262           0.1261    46.3382   38.8588   -7.4794  
   71188203              0.2656          0.2656           0.5663    41.7110   40.6522   -1.0588  
   72111038              0.2462          0.2462           0.2616    41.7475   40.4644   -1.2831  
   72133594              0.0808          0.0687           0.0428    37.4244   37.8239    0.3995  
   72136778              0.4345          0.4345           0.3899    40.5541   41.8972    1.3431  
   72359687              1.3076          1.3076           1.1827    47.3874   44.8208   -2.5666  
   73094024              1.7510          1.7510           1.5939    46.4335   45.6031   -0.8304  
   73893904              0.7105          0.7105           0.7721    45.8335   43.1865   -2.6470  
   74414346              0.4926          0.4926           0.4785    47.4028   42.2223   -5.1805  
   74708511              0.7954          0.7954           0.8117    42.8824   43.4872    0.6048  
   75586851              0.6138          0.6138           0.6471    47.0115   42.7988   -4.2127  
   76026828              0.0766          0.0654           0.0818    37.2492   37.7017    0.4525  
   76544060              1.2817          1.2817           1.3108    43.3179   44.7671    1.4492  
   76625128              0.7978          0.7978           0.8585    45.3803   43.4954   -1.8849  
   77187767              1.3054          1.3054           1.2717    46.5622   44.8162   -1.7460  
   77854126              1.0118          1.0118           1.0540    45.8784   44.1317   -1.7467  
   78403178              0.0182          0.0269           0.0627    35.1216   34.4892   -0.6324  
   78640339              2.1290          2.1290           2.6507    40.3914   46.1232    5.7318  
   79101009              1.5733          1.5733           1.4101    43.7801   45.3169    1.5368  
   80029207              0.7545          0.7545           0.7629    45.5113   43.3464   -2.1649  
   80077139              0.3362          0.3362           0.3699    45.4026   41.2423   -4.1603  
   80116654              0.1507          0.1507           0.1587    46.2972   39.2774   -7.0198  
   80267000              0.0246          0.0296           0.0632    35.7924   35.1539   -0.6385  
   80360504              0.0535          0.0437           0.0940    36.4194   36.8870    0.4676  
   80461318              1.5218          1.5218           1.4677    43.5850   45.2278    1.6428  
   80482573              0.3074          0.3074           0.3038    47.1177   41.0166   -6.1011  
   80617534              0.4808          0.4808           0.5016    44.8311   42.1594   -2.6717  
   80732977              0.6824          0.6824           0.7186    44.7593   43.0794   -1.6799  
   80960117              0.9337          0.9337           0.9349    45.0947   43.9161   -1.1786  
   81200938              0.0684          0.0793           2.3791    37.8210   37.4434   -0.3776  
   81201868              0.6062          0.6062           0.6270    44.0490   42.7662   -1.2828  
   81391106              1.4106          1.4106           1.3089    47.2348   45.0242   -2.2106  
   81457913              0.0550          0.0470           0.0778    36.5265   36.9493    0.4228  
   81626003              0.4938          0.4938           0.4940    46.2536   42.2287   -4.0249  
   82008283              0.8733          0.8733           0.8806    46.3721   43.7369   -2.6352  
   82622884              0.0774          0.0653           0.6055    37.2994   37.7255    0.4261  
   82776733              1.9839          1.9839           1.4872    41.6009   45.9357    4.3348  
   83078329              0.0541          0.0439           0.1635    36.4789   36.9121    0.4332  
   83678080              0.3350          0.3350           0.3606    47.1712   41.2334   -5.9378  
   86354508              0.0786          0.0925           0.1013    38.1271   37.7607   -0.3664  
   86607139              0.0785          0.0911           0.0924    38.1532   37.7578   -0.3954  
   86771390              0.4945          0.4945           0.4542    45.7820   42.2325   -3.5495  
